,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,port hardy,50.7,-127.42,16,67,40,4.1,CA,1598727206
91,hobbs,32.7,-103.14,36.67,18,5,8.2,US,1598727330
92,saint george,37.1,-113.58,32.78,22,1,4.1,US,1598727319
93,avarua,-21.21,-159.78,24,78,0,7.2,CK,1598727330
94,omboue,-1.57,9.26,23.9,84,100,4.61,GA,1598727330
95,xining,36.62,101.77,9.23,84,100,1.74,CN,1598727330
96,husavik,66.04,-17.34,11,71,75,2.6,IS,1598727189
97,sjenica,43.27,20,17.66,62,0,1.46,RS,1598727331
98,longyearbyen,78.22,15.64,5,87,75,7.2,SJ,1598727222
99,mahajanga,-15.72,46.32,23,78,0,1,MG,1598727331
100,ilo,-17.64,-71.34,18,77,90,3.1,PE,1598727331
101,alotau,NA,NA,NA,NA,NA,NA,NA,NA
102,saurimo,-9.66,20.39,24.22,48,64,1.07,AO,1598727331
103,touros,-5.2,-35.46,28,65,40,7.7,BR,1598727331
104,bambous virieux,-20.34,57.76,22,73,75,7.2,MU,1598727332
105,codrington,-38.27,141.97,15.11,35,100,10.35,AU,1598727187
106,marawi,8,124.29,23.89,89,100,2.68,PH,1598727332
107,koumac,-20.57,164.28,17.95,80,100,7.38,NC,1598727332
108,wagga wagga,-35.12,147.37,6,100,0,4.1,AU,1598727332
109,clyde river,70.47,-68.59,12,71,1,6.2,CA,1598727332
110,rohru,31.22,77.75,16.57,79,1,0.81,IN,1598727332
111,inongo,-1.95,18.27,22.48,83,74,2.02,CD,1598727333
112,bandarbeyla,9.49,50.81,25.09,77,96,12.55,SO,1598727333
113,chapais,49.78,-74.85,14,58,20,4.1,CA,1598727333
114,tromso,69.65,18.96,9,76,20,6.2,NO,1598727333
115,kapaa,22.08,-159.32,25.56,78,75,3.6,US,1598727333
116,port-cartier,50.03,-66.87,15,54,75,5.7,CA,1598727333
117,gizo,-8.1,156.84,27.77,81,7,6.92,SB,1598727334
118,kazalinsk,NA,NA,NA,NA,NA,NA,NA,NA
119,muhos,64.81,25.99,12,71,0,2.6,FI,1598727334
120,kloulklubed,7.04,134.26,25,88,75,3.51,PW,1598727334
121,riyadh,24.69,46.72,34,14,14,3.1,SA,1598727100
122,tasiilaq,65.61,-37.64,7,65,75,7.7,GL,1598727174
123,hays,30.05,-98.03,37.22,41,0,1.79,US,1598727334
124,hithadhoo,-0.6,73.08,28.08,76,100,4.72,MV,1598727334
125,anjozorobe,-18.4,47.87,13,93,20,3.6,MG,1598727335
126,vestmannaeyjar,63.44,-20.27,11,81,75,4.1,IS,1598727335
127,attawapiskat,NA,NA,NA,NA,NA,NA,NA,NA
128,maragogi,-9.01,-35.22,25.45,78,44,5.54,BR,1598727335
129,meyungs,NA,NA,NA,NA,NA,NA,NA,NA
130,sibolga,1.74,98.78,25.14,83,99,1.5,ID,1598727335
131,tianpeng,30.99,103.94,26,94,20,1,CN,1598727335
132,bolungarvik,NA,NA,NA,NA,NA,NA,NA,NA
133,la ronge,55.1,-105.28,20,60,75,7.2,CA,1598727050
134,nardaran,40.56,50.01,22,83,0,2.1,AZ,1598727336
135,sentyabrskiy,NA,NA,NA,NA,NA,NA,NA,NA
136,ahipara,-35.17,173.17,10.3,85,0,0.91,NZ,1598727336
137,lagoa,39.05,-27.98,23.63,94,97,3.78,PT,1598727336
138,karaul,NA,NA,NA,NA,NA,NA,NA,NA
139,grand river south east,NA,NA,NA,NA,NA,NA,NA,NA
140,mantua,45.17,10.78,20.56,91,100,1.34,IT,1598727336
141,grand gaube,-20.01,57.66,21.67,73,1,3.13,MU,1598727337
142,tasbuget,NA,NA,NA,NA,NA,NA,NA,NA
143,hastings,50.86,0.57,14,82,91,9.8,GB,1598727337
144,port-gentil,-0.72,8.78,25,83,75,6.73,GA,1598727337
145,sabratah,32.79,12.49,30.87,45,0,6.9,LY,1598727337
146,whitehaven,54.55,-3.58,11.11,80,16,6.15,GB,1598727337
147,hamilton,39.18,-84.53,30.56,61,75,5.1,US,1598727170
148,mangai,-4.05,19.53,25.66,70,94,1.32,CD,1598727338
149,varasti,44.24,26.25,28.89,45,0,5.1,RO,1598727338
150,severo-kurilsk,50.68,156.12,9.47,91,100,5.85,RU,1598727338
151,alofi,-19.06,-169.92,23,78,24,3.1,NU,1598727338
152,sistranda,63.73,8.83,12,76,75,3.1,NO,1598727338
153,storforshei,66.4,14.52,8.89,88,97,1.57,NO,1598727338
154,port macquarie,-31.43,152.92,6,100,7,2.68,AU,1598727339
155,cidreira,-30.18,-50.21,22.04,68,68,3.5,BR,1598727211
156,saskylakh,71.92,114.08,10.13,62,100,1.84,RU,1598727170
157,tamiahua,21.27,-97.45,30.84,70,81,3.54,MX,1598727339
158,juneau,58.3,-134.42,12.78,81,20,0.54,US,1598727339
159,labuhan,-6.88,112.21,24.85,77,100,2.95,ID,1598727339
160,yaan,7.38,8.57,23.38,92,93,1.38,NG,1598727339
161,georgetown,5.41,100.34,28,78,20,1.07,MY,1598727340
162,klaksvik,62.23,-6.59,9,87,100,4.1,FO,1598727340
163,imbituba,-28.24,-48.67,24,69,22,5.7,BR,1598727340
164,poum,-20.23,164.02,20.03,77,100,9.14,NC,1598727214
165,russkaya polyana,49.42,31.92,21.08,49,0,3.95,UA,1598727340
166,barentsburg,NA,NA,NA,NA,NA,NA,NA,NA
167,ahuimanu,21.44,-157.84,28,61,20,5.7,US,1598727340
168,piacabucu,-10.41,-36.43,25.89,77,12,6.54,BR,1598727340
169,goundam,16.41,-3.67,32.28,46,100,1.62,ML,1598727341
170,mastic beach,40.77,-72.85,24,88,90,2.6,US,1598727141
171,lompoc,34.64,-120.46,19,77,40,3.06,US,1598727341
172,luderitz,-26.65,15.16,12.56,63,0,9.73,NA,1598727341
173,coromandel,-18.47,-47.2,28.91,28,0,3.46,BR,1598727341
174,arecibo,18.47,-66.72,32.22,68,7,1.79,PR,1598727341
175,berlevag,70.86,29.09,10.45,78,88,5.73,NO,1598727342
176,vila velha,-20.33,-40.29,26.67,69,20,6.7,BR,1598727173
177,nang rong,14.64,102.79,24.87,86,100,2.04,TH,1598727342
178,chagda,NA,NA,NA,NA,NA,NA,NA,NA
179,cap malheureux,-19.98,57.61,21.67,73,1,3.13,MU,1598727342
180,kokstad,-30.55,29.42,7.5,75,100,1.98,ZA,1598727245
181,portland,45.52,-122.68,21.67,63,40,1.5,US,1598727086
182,yeletskiy,NA,NA,NA,NA,NA,NA,NA,NA
183,urumqi,43.8,87.6,18,55,0,3,CN,1598727342
184,victoria,22.29,114.16,28.89,79,0,2.22,HK,1598727127
185,sisimiut,66.94,-53.67,9,89,100,3.14,GL,1598727343
186,kruisfontein,-34,24.73,8.33,67,100,1.34,ZA,1598727193
187,hasaki,35.73,140.83,25,94,20,2.1,JP,1598727343
188,obernai,48.46,7.48,17.22,72,100,2.1,FR,1598727343
189,castro,-24.79,-50.01,24.8,51,0,2.39,BR,1598727343
190,safwah,NA,NA,NA,NA,NA,NA,NA,NA
191,nikolskoye,59.7,30.79,14.44,87,75,3,RU,1598727204
192,samusu,NA,NA,NA,NA,NA,NA,NA,NA
193,kimbe,-5.55,150.14,23.24,88,6,2.79,PG,1598727344
194,chokurdakh,70.63,147.92,2.88,96,100,2.13,RU,1598727183
195,vila franca do campo,37.72,-25.43,25,88,75,6.2,PT,1598727344
196,tiksi,71.69,128.87,4.86,87,0,3.17,RU,1598727344
197,agirish,61.92,63.02,14.46,71,100,4.58,RU,1598727344
198,terrace,54.52,-128.6,10,100,90,1.5,CA,1598727334
199,pisco,-13.7,-76.22,18,72,90,3.6,PE,1598727270
200,airai,-8.93,125.41,12.54,48,24,1.63,TL,1598727344
201,kerteh,NA,NA,NA,NA,NA,NA,NA,NA
202,morada nova,-5.11,-38.37,34.64,30,100,6.32,BR,1598727345
